# W_Value [GeV] Elastic [pb] Inelastic_I [pb] Inelastic_II [pb] Inelastic_III [pb]
3.09076700e+01	1.09069178e-03	1.36305055e-03	2.44191709e-03	3.77511988e-03
3.13825900e+01	1.05430914e-03	1.30911252e-03	2.34372290e-03	3.48028278e-03
3.18648000e+01	1.01907121e-03	1.25719577e-03	2.24906884e-03	3.34104243e-03
3.23544300e+01	9.84942448e-04	1.20723028e-03	2.15816416e-03	3.20684620e-03
3.28515800e+01	9.51877476e-04	1.15910519e-03	2.07084768e-03	3.07758350e-03
3.33563700e+01	9.19812488e-04	1.11279020e-03	1.98679314e-03	2.95329282e-03
3.43893400e+01	8.58563682e-04	1.06822723e-03	1.90592699e-03	2.83374672e-03
3.49177600e+01	8.29381875e-04	1.02537325e-03	1.82808157e-03	2.71868721e-03
3.54543000e+01	8.01102907e-04	9.84158850e-04	1.75312308e-03	2.60797853e-03
3.59990800e+01	7.73701410e-04	9.44433061e-04	1.68103017e-03	2.39867139e-03
3.65522300e+01	7.47154149e-04	9.06208525e-04	1.61176766e-03	2.29990524e-03
3.76841700e+01	6.96510133e-04	8.69457321e-04	1.54524371e-03	2.20496889e-03
3.88511600e+01	6.49010347e-04	8.34087231e-04	1.48126677e-03	2.11393553e-03
3.94481400e+01	6.26397052e-04	8.00071316e-04	1.41976878e-03	2.02638681e-03
4.00542900e+01	6.04506550e-04	7.67383731e-04	1.36069250e-03	1.94217150e-03
4.12946700e+01	5.62750717e-04	7.35949959e-04	1.30383979e-03	1.86121551e-03
4.19292000e+01	5.42875265e-04	7.05708071e-04	1.24914687e-03	1.78331667e-03
4.25734700e+01	5.23643740e-04	6.48637777e-04	1.19664240e-03	1.70846729e-03
4.32276500e+01	5.05024441e-04	6.21785022e-04	1.14627887e-03	1.63655390e-03
4.38918700e+01	4.86997723e-04	5.71108672e-04	1.09791059e-03	1.56745497e-03
4.45663000e+01	4.69551932e-04	5.47252600e-04	1.00670085e-03	1.50118969e-03
